Hexa44 Power Supply (Chip 1): Agilent Technologies,E3648A,0,1.7-5.0-1.0
    Limits: Voltage=1.2200, Current=0.6000
Hexa48 Power Supply (Chip 4): Agilent Technologies,E3642A,0,1.6-5.0-1.0
    Limits: Voltage=1.2400, Current=0.6000
2023-08-05 10:08:08.302710 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26306, Power=0.32525
2023-08-05 10:08:11.199791 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26042, Power=0.31802
2023-08-05 10:08:11.199791 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26306, Power=0.32526
2023-08-05 10:08:14.092257 Hexa44 Chip 1 Power: On, Voltage=1.22131, Current=0.26040, Power=0.31804
2023-08-05 10:08:14.092257 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26301, Power=0.32520
2023-08-05 10:08:16.982295 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26036, Power=0.31793
2023-08-05 10:08:16.982295 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26304, Power=0.32525
2023-08-05 10:08:19.878124 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26032, Power=0.31792
2023-08-05 10:08:19.878124 Hexa48 Chip 4 Power: On, Voltage=1.23635, Current=0.26305, Power=0.32522
2023-08-05 10:08:22.771733 Hexa44 Chip 1 Power: On, Voltage=1.22136, Current=0.26036, Power=0.31800
2023-08-05 10:08:22.771733 Hexa48 Chip 4 Power: On, Voltage=1.23637, Current=0.26304, Power=0.32521
2023-08-05 10:08:25.665041 Hexa44 Chip 1 Power: On, Voltage=1.22121, Current=0.26036, Power=0.31796
2023-08-05 10:08:25.665041 Hexa48 Chip 4 Power: On, Voltage=1.23645, Current=0.26303, Power=0.32522
2023-08-05 10:08:28.555237 Hexa44 Chip 1 Power: On, Voltage=1.22112, Current=0.26040, Power=0.31798
2023-08-05 10:08:28.555237 Hexa48 Chip 4 Power: On, Voltage=1.23647, Current=0.26301, Power=0.32520
2023-08-05 10:08:31.449743 Hexa44 Chip 1 Power: On, Voltage=1.22119, Current=0.26039, Power=0.31799
2023-08-05 10:08:31.449743 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26303, Power=0.32524
2023-08-05 10:08:34.345293 Hexa44 Chip 1 Power: On, Voltage=1.22107, Current=0.26040, Power=0.31797
2023-08-05 10:08:34.345293 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26306, Power=0.32525
2023-08-05 10:08:37.237568 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26040, Power=0.31800
2023-08-05 10:08:37.237568 Hexa48 Chip 4 Power: On, Voltage=1.23640, Current=0.26306, Power=0.32525
2023-08-05 10:08:40.135245 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26032, Power=0.31790
2023-08-05 10:08:40.135245 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26304, Power=0.32526
2023-08-05 10:08:43.038174 Hexa44 Chip 1 Power: On, Voltage=1.22104, Current=0.26034, Power=0.31788
2023-08-05 10:08:43.038174 Hexa48 Chip 4 Power: On, Voltage=1.23652, Current=0.26301, Power=0.32522
2023-08-05 10:08:45.931164 Hexa44 Chip 1 Power: On, Voltage=1.22126, Current=0.26036, Power=0.31797
2023-08-05 10:08:45.931164 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26307, Power=0.32528
2023-08-05 10:08:48.827417 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26039, Power=0.31798
2023-08-05 10:08:48.827417 Hexa48 Chip 4 Power: On, Voltage=1.23647, Current=0.26304, Power=0.32524
2023-08-05 10:08:51.727228 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26034, Power=0.31791
2023-08-05 10:08:51.727228 Hexa48 Chip 4 Power: On, Voltage=1.23642, Current=0.26301, Power=0.32520
2023-08-05 10:08:54.624188 Hexa44 Chip 1 Power: On, Voltage=1.22109, Current=0.26034, Power=0.31789
2023-08-05 10:08:54.624188 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26307, Power=0.32530
2023-08-05 10:08:57.531397 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26034, Power=0.31788
2023-08-05 10:08:57.531397 Hexa48 Chip 4 Power: On, Voltage=1.23664, Current=0.26305, Power=0.32530
